NODE_1,ATTR_1,NODE_1
1098,ADM,1
1100,NUR,1
1105,NUR,1
1108,NUR,1
1109,NUR,1
1114,NUR,1
1115,NUR,1
1116,NUR,1
1130,MED,1
1142,NUR,1
1144,MED,1
1148,MED,1
1149,NUR,1
1152,MED,1
1157,MED,1
1159,MED,1
1164,NUR,1
1168,MED,1
1179,ADM,1
1181,NUR,1
1190,NUR,1
1191,MED,1
1193,NUR,1
1196,NUR,1
1202,NUR,1
1205,NUR,1
1207,NUR,1
1209,ADM,1
1210,NUR,1
1221,MED,1
1232,ADM,1
1238,NUR,1
1245,NUR,1
1246,NUR,1
1260,MED,1
1261,NUR,1
1295,NUR,1
1305,PAT,1
1307,PAT,1
1320,PAT,1
1327,PAT,1
1352,PAT,1
1362,PAT,1
1363,PAT,1
1365,PAT,1
1373,PAT,1
1377,PAT,1
1378,PAT,1
1383,PAT,1
1385,PAT,1
1391,PAT,1
1395,PAT,1
1401,PAT,1
1416,PAT,1
1460,PAT,1
1469,PAT,1
1485,NUR,1
1525,ADM,1
1535,ADM,1
1547,PAT,1
1613,NUR,1
1625,NUR,1
1629,NUR,1
1658,ADM,1
1660,MED,1
